pmid,e1,e2,label,sentence
25501825_2014.ann,mir-660,lung cancer,1,"Furthermore, stable overexpression using lentiviral vectors in NCI-H460 and A549 cells inhibited tumor xenograft growth in immunodeficient mice (95 and 50% reduction compared with control, respectively), whereas the effects of mir-660 overexpression were absent in H1299, a lung cancer cell line lacking p53 locus, both in in vitro and in vivo assays."
19147571_2009.ann,Notch-1,colon cancer,1,gamma-Secretase inhibitors abrogate oxaliplatin-induced activation of the Notch-1 signaling pathway in colon cancer cells resulting in enhanced chemosensitivity.
25030372_2014.ann,BER genes,colorectal cancer,1,"Germline and  somatic mutations in BER genes, such as MutY Homolog (MUTYH/MYH) and DNA-directed polymerase (POLB), are associated with increased risk of colorectal cancer."
25321483_2014.ann,BMF gene,colon cancer,1,HDAC8 and STAT3 repress BMF gene activity in colon cancer cells.
22986531_2013.ann,Cdx2,colon cancers,1,Here we have studied the role of HNF4alpha in the mechanism of deregulation of Cdx2 in colon cancers.
27132515_2016.ann,Bcl-3,colitis,1,"Here we investigated the role of Bcl-3 in azoxymethane/dextran sulfate sodium (AOM/DSS)-induced colon tumors, a mouse model for colitis-associated colorectal cancers in humans."
27132515_2016.ann,Bcl-3,colorectal cancers,1,"Here we investigated the role of Bcl-3 in azoxymethane/dextran sulfate sodium (AOM/DSS)-induced colon tumors, a mouse model for colitis-associated colorectal cancers in humans."
18790750_2008.ann,p53,prostate cancer,1,"Here, we investigated the cell death signaling mechanisms induced by PGG  in human prostate cancer cells of different p53 functional status."
23934188_2014.ann,miR-137,neuroblastoma,1,"Here, we report the inversely related expression of miR-137 and CAR in parental and doxorubicin-resistant neuroblastoma cells, wherein miR-137 is downregulated in resistant cells."
22851508_2012.ann,NANOG,colorectal cancers,1,"Herein, we show NANOG is expressed from both NANOG1 and NANOGP8 in human colorectal cancers (CRC)."
22851508_2012.ann,NANOG,CRC,1,"Herein, we show NANOG is expressed from both NANOG1 and NANOGP8 in human colorectal cancers (CRC)."
22851508_2012.ann,NANOG1,CRC,1,"Herein, we show NANOG is expressed from both NANOG1 and NANOGP8 in human colorectal cancers (CRC)."
22851508_2012.ann,NANOG1,colorectal cancers,1,"Herein, we show NANOG is expressed from both NANOG1 and NANOGP8 in human colorectal cancers (CRC)."
22851508_2012.ann,NANOGP8,colorectal cancers,1,"Herein, we show NANOG is expressed from both NANOG1 and NANOGP8 in human colorectal cancers (CRC)."
22851508_2012.ann,NANOGP8,CRC,1,"Herein, we show NANOG is expressed from both NANOG1 and NANOGP8 in human colorectal cancers (CRC)."
25608619_2015.ann,miR-146a,hepatocellular carcinoma (HCC),1,"However, the  molecular details underlying miR-146a mediated regulation of its target genes and its precise biological function in cancer, especially in hepatocellular carcinoma (HCC) remains unclear."
24931456_2014.ann,miR-221,CRC,1,Human CRC tissues had higher levels of miR-221 and miR-222 than nontumor colon tissues; increases correlated with increased levels of RelA and STAT3 mRNAs.
24931456_2014.ann,miR-222,CRC,1,Human CRC tissues had higher levels of miR-221 and miR-222 than nontumor colon tissues; increases correlated with increased levels of RelA and STAT3 mRNAs.
23934188_2014.ann,miR-137,neuroblastoma,1,Hypermethylation of the miR-137 promoter and negative regulation of miR-137 by CAR contribute in part to reduced miR-137 expression and increased CAR and MDR1 expression in doxorubicin-resistant neuroblastoma cells.
23668310_2013.ann,c-myc,colorectal cancer,1,"Immunohistochemistry for beta-catenin, c-myc, Ki-67 and TUNEL-staining was performed to investigate TQ's effect on major colorectal cancer pathways."
24013097_2013.ann,miR-141,pancreatic cancer,1,"In a nude mouse xenograft model, both overexpression of miR-141 and knockdown of MAP4K4 significantly repressed pancreatic cancer cell growth."
27486174_2016.ann,MYC,prostate cancer,1,"In addition, PIM kinases activate MYC signaling and mRNA translation in prostate cancer and cooperate with MYC to accelerate tumorigenesis."
18794809_2008.ann,POX gene,colorectal cancer,1,"In our current report, we used DLD-1 colorectal cancer cells stably transfected with the POX gene under the control of a tetracycline-inducible promoter and found that three pathways which cross talk  with each other were downregulated by POX: the cyclooxygenase-2 (COX-2) pathway,  the epidermal growth factor receptor (EGFR) pathway and the Wnt/beta-catenin pathway."
17599044_2008.ann,Cdx2,invasive cancer,1,"In particular, the expression of the intestine-specific transcription factor Cdx2, a key gene for intestinal identity downregulated in invasive cancer cells, is reduced during wound healing in vitro."
19147571_2009.ann,Notch-1,colon cancer,1,"In summary, colon cancer cells may up-regulate Notch-1 as a protective mechanism in response to chemotherapy."
22901255_2012.ann,Cdx1,gastrointestinal cancers,1,"In the adult, Cdx1 and Cdx2, but not Cdx4, have been  intensively explored for their function in intestinal tissue homeostasis and the  pathogenesis of gastrointestinal cancers."
22901255_2012.ann,Cdx2,gastrointestinal cancers,1,"In the adult, Cdx1 and Cdx2, but not Cdx4, have been  intensively explored for their function in intestinal tissue homeostasis and the  pathogenesis of gastrointestinal cancers."
19384949_2009.ann,TS gene,colon cancer,1,"In this study, we demonstrate that the histone deacetylase inhibitors (HDACi) vorinostat and LBH589 significantly downregulate TS gene expression in a panel of colon cancer cell lines."
24013097_2013.ann,miR-141,pancreatic cancer,1,"In this study, we explored the role of miR-141 in pancreatic cancer."
17599044_2008.ann,Cdx2,colon cancer,1,"In vitro, forced expression of Cdx2 in human  colon cancer cell lines retarded wound repair and reduced migration, whereas inhibition of Cdx2 expression by RNA interference enhanced migration."
24931456_2014.ann,miR-221,CRC,1,Incubation of CRC cells with miR-221 and miR-222 inhibitors reduced their proliferation and colony formation compared with control cells.
24784840_2014.ann,p53,gastric adenocarcinoma,1,"Interestingly, gastric adenocarcinoma was significantly more frequent in Pdx-1-Cre;Smad4(F/F);Trp53(F/F);Cdh1(F) (/+) mice than in Pdx-1-Cre;Smad4(F/F);Trp53(F/F);Cdh1(+/+) mice, demonstrating that Cdh1 heterozygosity accelerates the development and progression of gastric adenocarcinoma, in combination with loss of Smad4 and p53."
17906616_2007.ann,CDX2,gastric cancer,1,Intestinal metaplasia or dysplasia with low expression of CDX2 may serve as predictive markers for gastric cancer.
17906616_2007.ann,CDX2,Intestinal metaplasia,1,Intestinal metaplasia or dysplasia with low expression of CDX2 may serve as predictive markers for gastric cancer.
22537901_2012.ann,HER2,Triple negative breast cancer,1,"INTRODUCTION: Triple negative breast cancer (TNBC) is very aggressive and currently has no specific therapeutic targets, such as hormone receptors or human epidermal growth factor receptor type 2 (HER2); therefore, prognosis is poor."
18676755_2008.ann,K-Ras,colorectal cancer,1,K-Ras mutations and treatment outcome in colorectal cancer patients receiving exclusive fluoropyrimidine therapy.
22120154_2012.ann,LINE-1,intestinal metaplasia,1,LINE-1 methylation decreased during the transition from intestinal metaplasia to gastric adenoma and no further decrease occurred during the transition from gastric adenoma to GC.
22120154_2012.ann,LINE-1,gastric adenoma,1,LINE-1 methylation decreased during the transition from intestinal metaplasia to gastric adenoma and no further decrease occurred during the transition from gastric adenoma to GC.
26342199_2015.ann,c-fos proto-oncogene,bladder cancer,1,"Little is known about biological significance of ELK1, a transcriptional factor that activates downstream targets including c-fos proto-oncogene, in bladder cancer."
24931456_2014.ann,miR-221,CRC,1,METHODS: CRC cell lines (HCT116 and RKO) were transfected with miR-221 or miR-222 mimics or inhibitors.
24931456_2014.ann,miR-222,CRC,1,METHODS: CRC cell lines (HCT116 and RKO) were transfected with miR-221 or miR-222 mimics or inhibitors.
21205878_2011.ann,Hes1,colorectal cancer,1,METHODS: Notch status was analysed by studying expression of the Notch effector Hes1 and Notch ligands/receptors in human colorectal cancer (CRC) and mouse models of Apc mutation.
21205878_2011.ann,Hes1,CRC,1,METHODS: Notch status was analysed by studying expression of the Notch effector Hes1 and Notch ligands/receptors in human colorectal cancer (CRC) and mouse models of Apc mutation.
25516351_2014.ann,SPARC gene,gastric cancer,1,"Methylation rate of SPARC gene was 80% in ten gastric cancer cell lines and 74% (163 of 220) in primary tumors, while it was 5% in normal gastric mucosa (n = 40)."
10498885_1999.ann,Msh2,gastrointestinal cancer,1,"Mice with mutations in the mismatch repair genes, Msh2 and Mlh1, exhibit a mismatch repair  defect and are predisposed to developing gastrointestinal cancer, lymphomas and tumors of other organ systems."
10498885_1999.ann,Mlh1,gastrointestinal cancer,1,"Mice with mutations in the mismatch repair genes, Msh2 and Mlh1, exhibit a mismatch repair  defect and are predisposed to developing gastrointestinal cancer, lymphomas and tumors of other organ systems."
23934188_2014.ann,miR-137,neuroblastoma,1,"miR-137 overexpression resulted in downregulation of CAR protein and mRNA (via mRNA degradation); it sensitized doxorubicin-resistant cells to doxorubicin (as shown  by reduced proliferation, increased apoptosis and increased G2-phase cell cycle arrest) and reduced the in vivo growth rate of neuroblastoma xenografts."
23934188_2014.ann,miR-137,neuroblastoma,1,miR-137 regulates the constitutive androstane receptor and modulates doxorubicin  sensitivity in parental and doxorubicin-resistant neuroblastoma cells.
25503559_2015.ann,miR-490-3p,intestinal metaplasia,1,"miR-490-3p exhibited progressive downregulation in gastritis, intestinal metaplasia, and adenocarcinoma during H."
25501825_2014.ann,Mir-660,lung cancer,1,Mir-660 is downregulated in lung cancer patients and its replacement inhibits lung tumorigenesis by targeting MDM2-p53 interaction.
24013097_2013.ann,miRNA-141,pancreatic cancer,1,"miRNA-141, downregulated in pancreatic cancer, inhibits cell proliferation and invasion by directly targeting MAP4K4."
24960159_2014.ann,c-MYC,intestinal cancers,1,"Moreover,  we identified Usp28 as a c-MYC target gene highly expressed in murine and human intestinal cancers, which indicates that USP28 and c-MYC form a positive feedback loop that maintains high c-MYC protein levels in tumors."
11875002_2002.ann,Cdx2,intestinal neoplasia,1,"Moreover, as gastric cancer in humans is often preceded by intestinal metaplasia, the phenotype described here strongly suggests involvement of Cdx2 in the initiation of the process leading to intestinal neoplasia of the gastric mucosa."
17906616_2007.ann,CDX2,gastric cancer,1,"Moreover, CDX2 expression was progressively reduced in gastric dysplasia and cancer."
8640784_1996.ann,secretory phospholipase A(2) gene,intestinal polyps,1,"Mutation of Pla2g2a, a secretory phospholipase A(2) gene, dramatically increases  the number of intestinal polyps that develop in the multiple intestinal neoplasia (Min) mouse, a murine model for adenomatous polyposis coli in humans."
8640784_1996.ann,secretory phospholipase A(2) gene,intestinal neoplasia,1,"Mutation of Pla2g2a, a secretory phospholipase A(2) gene, dramatically increases  the number of intestinal polyps that develop in the multiple intestinal neoplasia (Min) mouse, a murine model for adenomatous polyposis coli in humans."
8640784_1996.ann,secretory phospholipase A(2) gene,adenomatous polyposis coli,1,"Mutation of Pla2g2a, a secretory phospholipase A(2) gene, dramatically increases  the number of intestinal polyps that develop in the multiple intestinal neoplasia (Min) mouse, a murine model for adenomatous polyposis coli in humans."
27489358_2016.ann,Notch1,gastric cancers,1,Notch1 directly induced CD133 expression in human diffuse type gastric cancers.
21436051_2011.ann,adenomatous polyposis coli gene,CRC,1,One of  the most common rate-limiting mutations in human CRC occurs in the adenomatous polyposis coli (APC) gene.
18413743_2008.ann,SOX17 gene,CRC,1,Our recent global analysis of CpG island hypermethylation and gene expression in colorectal cancer (CRC) cell lines revealed that SOX17 gene silencing is associated with DNA hypermethylation of a CpG island in the promoter region.
18413743_2008.ann,SOX17 gene,colorectal cancer,1,Our recent global analysis of CpG island hypermethylation and gene expression in colorectal cancer (CRC) cell lines revealed that SOX17 gene silencing is associated with DNA hypermethylation of a CpG island in the promoter region.
24013097_2013.ann,miR-141,pancreatic cancer,1,"Overexpression of miR-141 in pancreatic cancer cells inhibited cell proliferation, clonogenicity, and invasion; induced G1 arrest and apoptosis; and enhanced chemosensitivity."
19652364_2009.ann,gastrin gene,colorectal cancer,1,"Overexpression of progastrin, a nonamidated and incompletely processed product of the gastrin gene, has been shown to induce colonic hyperproliferation and promote colorectal cancer in mice, but the mechanism of pathogenesis has not been defined."
24642471_2014.ann,p53,CRC,1,p53 activation in CRC cells interfered with IL-6-induced invasion and migration via miR-34a-dependent downregulation of IL6R expression.
18790750_2008.ann,p53,prostate cancer,1,"Penta-1,2,3,4,6-O-galloyl-beta-D-glucose induces p53 and inhibits STAT3 in prostate cancer cells in vitro and suppresses prostate xenograft tumor growth in  vivo."
15269146_2004.ann,p14ARF gene,non-small cell lung cancer,1,PURPOSE AND EXPERIMENTAL DESIGN: The molecular mechanisms by which the p14ARF gene is altered in non-small cell lung cancer (NSCLC) are complex and unclear.
21531817_2011.ann,IFITM3,colorectal cancer,1,"PURPOSE: IFITM3, an IFN-inducible gene, is overexpressed in human colorectal cancer."
27486174_2016.ann,MYC oncogene,prostate cancer,1,PURPOSE: The MYC oncogene is frequently overexpressed in prostate cancer.
22986531_2013.ann,HNF4alpha,intestinal cancer,1,Regulation of the tumor suppressor homeogene Cdx2 by HNF4alpha in intestinal cancer.
26210742_2015.ann,ISG15,colon tumorigenesis,1,"Results show KLF9 to be a haploinsufficient suppressor of colon tumorigenesis in Apc(Min/+) mice in part, by repression of ISG15 and the latter's antiapoptotic function."
21679465_2011.ann,Notch,breast cancer,1,RESULTS: Herein we provide new evidence for transcriptional regulation of Notch by PEA3 in breast cancer.
24931456_2014.ann,miR-221,CRC,1,"RESULTS: In CRC cell lines, mimics of miR-221 and miR-222  activated NF-kappaB and STAT3, further increasing expression of miR-221 and miR-222."
24931456_2014.ann,miR-222,CRC,1,"RESULTS: In CRC cell lines, mimics of miR-221 and miR-222  activated NF-kappaB and STAT3, further increasing expression of miR-221 and miR-222."
15107824_2004.ann,Sil  gene,lung cancer,1,Sil  gene expression in lung cancer correlated with the expression of several kinetochore check-point genes and with the histopathologic mitotic index.
25043185_2014.ann,MLH1,colorectal cancers,1,Silencing of MLH1 is frequently seen in sporadic colorectal cancers.
25939752_2015.ann,CDX1,colon cancer,1,"Similarly, the treatment of human colon cancer cell lines with a hypomethylating agent induces differentiation-related genes, including CDX1."
26716648_2016.ann,Bcl-2,colitis-associated cancer,1,"Sonic hedgehog inhibitors prevent colitis-associated cancer via orchestrated mechanisms of IL-6/gp130 inhibition, 15-PGDH induction, Bcl-2 abrogation, and tumorsphere inhibition."
23376423_2013.ann,beta-catenin-target genes,CRC,1,"SPDEF inhibited the expression of beta-catenin-target genes in mouse colon tumors, and interacted with beta-catenin to block its transcriptional activity in CRC cell lines, resulting in lower levels of cyclin D1 and c-MYC."
23376423_2013.ann,c-MYC,CRC,1,"SPDEF inhibited the expression of beta-catenin-target genes in mouse colon tumors, and interacted with beta-catenin to block its transcriptional activity in CRC cell lines, resulting in lower levels of cyclin D1 and c-MYC."
7769122_1995.ann,Ha-ras,colon cancer,1,Stable transfection of Ha-ras into the human colon cancer line CaCo2 results in the morphologic differentiation to a small bowel phenotype.
20010873_2010.ann,adenomatous polyposis coli gene,colorectal cancers,1,The adenomatous polyposis coli (APC) gene product is mutated in the vast majority of human colorectal cancers.
22349829_2013.ann,L1CAM,CRC,1,The adhesion molecule L1CAM mediates chemoresistance and migration of tumor cells and is elevated in CRC tissues being associated with metastatic spread and poor prognosis for the patients.
24013097_2013.ann,miR-141,pancreatic cancer,1,The analysis of clinical characteristics showed that miR-141 was significantly downregulated in tissues and cell lines of  pancreatic cancer.
17704804_2008.ann,IEX-1,colorectal cancer,1,The apoptosis-inducing effect of gastrin on colorectal cancer cells relates to an increased IEX-1 expression mediating NF-kappa B inhibition.
17906616_2007.ann,CDX2,gastric cancer,1,The CDX2 expression in gastric cancer was also inversely correlated with  the expression of gastric mucins.
28231808_2017.ann,ITIH5,breast cancer,1,The ECM-modulator inter- alpha-trypsin inhibitor heavy chain family member five (ITIH5) was recently identified as tumor suppressor potentially involved in impairing breast cancer progression but molecular mechanisms underlying its function are still elusive.
15705887_2005.ann,folate transporter gene,colon carcinogenesis,1,The effect of folate transporter gene ablation on colon carcinogenesis was evaluated 8 and 38 weeks post-azoxymethane injection in wild-type and heterozygous mice.
24931456_2014.ann,miR-221,CRC,1,"The levels of miR-221 and miR-222 as well as RelA, STAT3, and PDLIM2 mRNAs were measured in 57 paired CRC and adjacent nontumor tissues from patients."
24931456_2014.ann,miR-222,CRC,1,"The levels of miR-221 and miR-222 as well as RelA, STAT3, and PDLIM2 mRNAs were measured in 57 paired CRC and adjacent nontumor tissues from patients."
23975432_2014.ann,KCNQ1,gastrointestinal cancers,1,The role of KCNQ1 in mouse and human gastrointestinal cancers.
17599044_2008.ann,Cdx2,colon cancer,1,"These data provide evidence that Cdx2 antagonizes the process of tumor cell dissemination, and they suggest that this homeobox gene might represent a new therapeutic target against metastatic spreading of colon cancer."
9816310_1996.ann,K-sam,stomach cancer,1,"These results suggest that K-sam overexpression is associated with the malignant phenotype of the undifferentiated type of stomach cancer, such as infiltrative growth and metastasis."
18372904_2008.ann,K-Ras,colon cancer,1,"This K-Ras tumor phenotype was associated with attenuated signaling through the MAPK pathway, and human colon cancer cells expressing mutant K-Ras were hypersensitive to inhibition of Raf, but not Mek."
12970743_2003.ann,C-CRK proto-oncogene,lung cancers,1,This study provides the first quantitative analysis of discrete CRKI and CRKII protein isoforms in human lung tumors and provides evidence that the C-CRK proto-oncogene may foment a more aggressive phenotype in lung cancers.
18171987_2007.ann,c-Myc,colorectal cancer,1,This study shows that c-Myc is critical for Apc-dependent intestinal tumorigenesis in mice and provides a potential therapeutic target in the treatment of colorectal cancer.
24013097_2013.ann,miR-141,pancreatic cancer,1,"To  understand how miR-141 mediates the phenotype of pancreatic cancer cells, a bioinformatics tool was used to identify MAP4K4 as a potential target of miR-141."
23975432_2014.ann,KCNQ1,CRC,1,"To investigate the role of KCNQ1 in human colorectal cancer (CRC), we measured protein levels of KCNQ1 by immunohistochemistry in tissue microarrays containing samples from CRC patients with liver metastases who had undergone hepatic resection."
25501825_2014.ann,mir-660,lung cancer,1,"Transient and stable overexpression of mir-660 using miRNA mimics  reduced migration, invasion, and proliferation properties and increased apoptosis in p53 wild-type lung cancer cells (NCI-H460, LT73, and A549)."
27489358_2016.ann,Notch1,gastric cancers,1,We aimed to investigate whether Notch1 signaling contributes to the carcinogenesis of gastric cancers and CD133 induction.
21319196_2011.ann,PAX5,hepatocellular carcinoma,1,We examined the biological functions and related molecular mechanisms of PAX5 in hepatocellular carcinoma (HCC).
21319196_2011.ann,PAX5,hepatocellular carcinoma (HCC),1,We examined the biological functions and related molecular mechanisms of PAX5 in hepatocellular carcinoma (HCC).
9797364_1998.ann,apobec-1 gene,colon cancer,1,We have examined apobec-1 gene expression in human gastrointestinal tumors and in colon cancer-derived cell lines.
17360473_2007.ann,gatekeeper gene,Adenomatous polyposis coli,1,We have investigated whether a rat model carrying a knockout allele in the gatekeeper gene Adenomatous polyposis coli (Apc) recapitulates familial colon cancer of the human more closely than existing murine models.
24931456_2014.ann,miR-222,CRC,1,We investigated whether microRNA miR-221 and miR-222 regulate NF-kappaB and signal transducer and activator of transcription 3 (STAT3) activation in human CRC cell lines.
20980345_2011.ann,p53,colorectal cancer,1,"We wanted to  determine whether genetic defects that are relevant for colorectal cancer, such as Msh2 or p53 deficiency, would influence the efficiency of sulindac chemoprevention or increase the side effects."
24013097_2013.ann,miR-141,pancreatic cancer,1,Western blot and quantitative real-time PCR (qRT-PCR) analyses revealed that MAP4K4 expression was inversely correlated with miR-141 expression both in pancreatic cancer samples and cell lines.
21081470_2011.ann,c-Myc,colon tumor,1,"Western blots revealed overexpression of beta-catenin, c-Myc, cyclin D1, inducible nitric oxide synthase and cyclooxygenase-2 in colon tumor samples."
24501326_2014.ann,CDX2,colorectal cancer,1,"Wnt/beta-catenin signaling is critical for intestinal cell proliferation, but a decreased CDX2 expression has influence  on the Wnt signaling-related genes and progression of colorectal cancer."
23208495_2013.ann,p53,colon cancer,1,YY1 promotes colon cancer growth through inhibiting p53 and promoting Wnt signaling pathways and serves as an independent  prognostic biomarker for CRC patients.
11809705_2002.ann,C/EBPalpha gene,lung cancer,2, Genetic analysis of the C/EBPalpha gene is in progress to fully evaluate its role as a novel tumor suppressor in lung cancer.
